order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,174,4,120862.71,16.21
2,1,597,1,99325.27,24.34
3,2,97,2,122555.2,5.69
4,2,537,3,145160.65,17.79
5,3,939,2,142089.0,21.47
6,3,284,2,116920.89,13.94
7,3,941,1,119226.05,10.54
8,3,791,3,79876.42,8.9
9,3,784,4,38287.32,9.98
10,4,263,1,45825.88,13.95
11,5,91,2,60782.6,12.24
12,6,370,4,29623.81,1.99
13,6,960,4,146431.45,21.95
14,7,313,2,41257.93,4.25
15,8,376,3,8304.64,20.44
16,8,307,4,6855.49,7.83
17,8,99,3,109514.57,23.78
18,8,52,3,83803.38,3.66
19,9,386,2,38393.36,6.71
20,9,453,3,65798.97,6.68
21,9,944,3,147383.28,12.72
22,9,111,3,48967.85,21.49
23,10,29,4,116018.59,22.21
24,10,733,4,7576.83,12.61
25,11,198,2,93549.09,17.26
26,11,538,2,57578.97,16.5
27,11,578,1,143988.7,2.18
28,11,201,2,37916.8,15.69
29,11,589,2,129324.64,14.58
30,12,559,2,130826.86,12.66
31,12,840,4,70697.89,11.17
32,13,748,1,99486.44,24.28
33,13,845,3,48368.1,22.0
34,13,840,2,70697.89,8.69
35,13,509,4,147163.92,6.45
36,13,207,2,41642.65,23.36
37,14,905,2,112815.49,21.84
38,14,917,4,41915.7,13.23
39,14,28,4,48859.14,5.66
40,15,897,3,23202.7,2.62
41,15,28,4,48859.14,10.11
42,15,474,1,68346.45,21.39
43,16,210,2,67329.85,6.06
44,16,401,1,49544.01,6.16
45,16,487,3,8293.17,9.68
46,16,300,1,93598.89,24.63
47,16,421,4,46119.44,9.45
48,17,655,4,107372.52,11.73
49,18,573,2,749.73,7.29
50,18,50,2,113737.39,19.25
51,18,201,1,37916.8,10.85
52,19,803,2,55432.63,7.92
53,20,388,1,130519.59,9.65
54,20,274,2,101248.77,1.28
55,20,737,1,135769.11,10.85
56,21,152,2,17599.27,23.56
57,22,629,2,57443.45,10.91
58,22,538,1,57578.97,0.36
59,22,20,2,26931.42,24.67
60,22,219,1,2909.21,14.01
61,22,678,4,97189.32,4.02
62,23,651,2,107762.49,4.86
63,23,419,1,148229.35,15.98
64,23,176,2,74634.74,10.04
65,23,622,4,10408.52,8.83
66,24,228,2,105011.74,11.81
67,24,955,2,22703.13,18.57
68,24,555,3,137930.77,11.92
69,25,520,2,129821.12,7.48
70,25,506,4,141462.78,13.33
71,25,689,2,39771.36,15.36
72,25,896,3,57399.94,22.31
73,25,740,2,16987.83,2.84
74,26,894,3,5190.63,15.17
75,26,466,2,79334.79,13.68
76,26,580,2,22232.24,13.86
77,27,790,2,129714.64,22.32
78,28,378,2,34428.0,12.93
79,28,757,3,86469.34,15.37
80,28,837,3,64166.57,19.57
81,28,268,1,9538.66,3.11
82,28,466,3,79334.79,18.38
83,29,355,1,115632.58,20.47
84,29,387,3,97935.39,22.03
85,29,123,1,37199.46,19.65
86,29,578,1,143988.7,3.89
87,29,497,1,26000.06,2.42
88,30,546,1,135376.31,21.35
89,31,37,2,46344.8,14.19
