order_id,customer_id,order_date,status,total_amount
1,4007,2025-01-14 19:19:05,Returned,480232.96
2,5140,2024-09-26 04:40:56,Cancelled,589173.33
3,5363,2025-05-09 22:23:07,Returned,887236.08
4,6353,2025-11-18 06:20:47,Pending,39433.17
5,6582,2025-01-19 09:41:30,Completed,106685.62
6,6543,2024-05-01 22:22:37,Pending,573296.17
7,5093,2025-11-03 21:36:47,Returned,79008.94
8,1946,2025-10-06 02:24:12,Cancelled,537720.88
9,7133,2025-07-19 05:00:54,Pending,757087.48
10,2119,2025-08-05 17:57:51,Completed,387489.01
11,4853,2025-11-17 23:53:02,Pending,676685.18
12,2954,2024-11-09 05:48:01,Completed,479732.1
13,2309,2024-11-13 13:52:48,Pending,932138.22
14,7146,2025-01-26 23:03:12,Returned,506209.04
15,2373,2024-07-21 10:34:33,Completed,297189.44
16,1231,2025-07-04 22:37:22,Completed,433052.69
17,2999,2025-09-25 00:23:29,Completed,379110.89
18,5008,2025-04-13 18:46:13,Pending,218878.86
19,1048,2025-11-11 22:00:28,Completed,102084.73
20,4659,2024-01-04 13:19:13,Completed,438868.18
21,4145,2025-12-07 16:21:49,Cancelled,26905.76
22,3555,2025-06-17 09:51:10,Returned,575930.17
23,1848,2024-09-13 13:52:27,Completed,501833.38
24,7957,2024-06-27 13:49:44,Cancelled,586662.29
25,9312,2024-11-10 01:24:03,Returned,964761.92
26,1834,2025-05-19 04:45:27,Completed,188474.92
27,7718,2024-11-24 07:33:07,Returned,201524.66
28,7316,2025-11-28 03:48:50,Completed,637818.62
29,6657,2024-12-07 02:09:32,Cancelled,514691.43
30,9985,2025-05-16 21:25:36,Cancelled,106473.47
31,4550,2025-01-24 10:41:53,Cancelled,224397.97
32,8632,2024-06-11 12:28:00,Completed,935672.21
33,2636,2025-08-15 20:07:55,Cancelled,1005374.25
34,3264,2024-05-25 00:48:59,Completed,239035.14
35,9004,2024-01-25 15:50:11,Completed,579394.77
36,935,2024-05-28 15:45:41,Completed,130853.12
37,7078,2024-02-28 18:04:29,Completed,492525.69
38,6715,2024-11-04 05:29:37,Completed,396037.36
39,2755,2024-04-05 21:07:55,Pending,126061.23
40,35,2025-12-01 13:24:27,Completed,760166.38
41,89,2025-07-07 22:21:23,Completed,776617.43
42,3223,2025-07-06 10:29:40,Pending,1163552.14
43,2643,2025-08-26 13:00:23,Cancelled,122766.3
44,5516,2024-06-09 07:26:54,Completed,399885.75
45,8913,2025-11-10 02:02:45,Completed,327763.08
46,3090,2024-03-24 08:16:29,Returned,843225.99
47,1579,2025-01-10 16:08:22,Completed,587852.77
48,5272,2024-12-15 16:02:51,Pending,11315.9
49,761,2025-04-08 14:31:07,Completed,900046.65
50,2941,2024-01-12 12:08:57,Completed,783454.37
51,4003,2024-09-22 06:49:50,Cancelled,678934.56
52,3850,2024-07-07 23:55:13,Cancelled,547711.1
53,32,2024-08-22 21:16:34,Completed,914749.81
54,9063,2024-02-02 00:35:52,Pending,868045.06
55,2652,2025-12-11 19:25:39,Completed,400718.88
56,2801,2024-06-10 01:41:37,Pending,978181.3
57,9250,2025-03-06 18:05:09,Returned,109271.63
58,1024,2025-06-12 15:05:14,Completed,570469.17
59,7391,2025-02-18 18:41:58,Completed,207058.51
60,8749,2024-06-21 03:04:32,Pending,1013554.11
61,7082,2024-05-27 02:53:17,Completed,390918.69
62,7494,2024-06-04 02:46:55,Returned,228230.95
63,7146,2024-03-20 01:51:33,Completed,430509.13
64,3722,2025-05-23 02:53:41,Completed,294966.74
65,9107,2024-09-04 16:41:23,Completed,1029150.07
66,8219,2025-09-09 20:59:11,Cancelled,329649.33
67,6314,2025-05-31 07:46:47,Pending,959451.63
68,3340,2025-11-19 23:34:11,Completed,411769.76
69,7925,2025-07-19 12:32:34,Completed,39622.23
70,1365,2024-03-15 10:30:36,Cancelled,611562.24
71,5509,2025-02-01 18:03:56,Pending,816736.47
72,1869,2024-01-13 05:07:11,Pending,202125.45
73,8886,2024-03-22 20:48:06,Returned,722575.28
74,6595,2024-11-05 03:30:07,Completed,501686.01
75,6516,2024-11-08 21:00:47,Completed,108898.55
76,1717,2024-08-05 03:08:39,Completed,266627.19
77,7112,2025-02-23 20:35:55,Cancelled,97841.0
78,4993,2025-09-27 04:58:53,Returned,306816.05
79,1781,2024-01-09 19:14:02,Completed,263675.9
80,1219,2024-05-02 08:22:31,Completed,348128.74
81,2541,2024-07-12 19:35:31,Pending,655704.82
82,8288,2024-11-24 20:16:33,Returned,285821.77
83,2570,2024-04-14 23:47:17,Completed,704655.25
84,3697,2025-02-21 16:18:16,Pending,262475.57
85,9975,2024-02-15 07:11:03,Completed,811562.44
86,1625,2025-11-05 18:01:21,Pending,855724.61
87,8857,2024-04-02 14:40:58,Returned,683209.33
88,8325,2025-11-07 18:17:05,Pending,853163.76
89,3667,2025-04-08 16:43:47,Completed,767913.76
90,3062,2024-06-21 11:54:00,Completed,804913.33
91,9832,2025-01-23 22:20:30,Pending,491446.73
92,1038,2025-02-14 12:03:50,Cancelled,662373.02
93,7814,2025-10-11 18:24:18,Completed,339474.84
94,325,2025-06-22 08:45:15,Completed,183303.68
95,7902,2025-07-26 21:55:01,Completed,558288.18
96,6319,2025-12-11 06:34:32,Completed,422342.12
97,712,2025-04-22 08:59:45,Completed,598433.9
98,6066,2025-05-15 13:25:54,Returned,804055.21
99,9536,2025-11-09 08:30:42,Completed,60310.01
100,103,2024-10-10 18:53:15,Pending,779842.02
101,8819,2024-05-30 15:26:30,Cancelled,743221.53
102,1646,2024-02-25 21:28:55,Returned,325218.94
103,4365,2024-03-26 17:02:52,Completed,911833.39
104,1230,2024-10-01 15:47:40,Cancelled,376354.61
105,2088,2024-08-02 09:35:54,Completed,248045.36
106,9941,2025-08-24 21:03:41,Completed,86649.73
107,6714,2025-11-18 15:06:34,Completed,348365.96
108,7548,2025-06-02 23:13:36,Cancelled,9291.65
109,1814,2025-11-25 11:07:21,Completed,316396.44
110,9723,2024-07-06 03:59:57,Completed,354233.29
111,9496,2025-03-13 13:56:13,Returned,656349.47
112,8737,2025-01-10 22:51:51,Pending,603065.22
113,4047,2025-02-26 16:12:11,Cancelled,784041.61
114,4898,2025-12-07 02:38:21,Completed,218675.93
115,8151,2024-03-14 04:53:45,Completed,397213.34
116,273,2024-10-06 05:10:59,Pending,52239.33
117,2469,2025-01-11 11:13:29,Pending,425543.19
118,6403,2024-07-10 03:04:46,Completed,1028962.75
119,6040,2024-07-21 00:26:32,Pending,289511.17
120,6542,2025-09-20 11:04:56,Cancelled,219959.87
121,6300,2024-03-08 06:05:25,Returned,811786.96
122,2799,2025-10-30 04:19:04,Cancelled,304055.66
123,5799,2024-09-03 15:01:03,Cancelled,529748.73
124,1544,2025-03-26 08:17:35,Completed,83199.43
125,5304,2025-09-16 01:43:08,Completed,479823.98
126,3345,2024-03-06 14:26:39,Completed,377629.62
127,8311,2024-01-17 16:34:46,Cancelled,885857.2
128,9266,2025-06-07 07:36:39,Completed,135699.28
129,5627,2024-10-20 06:36:05,Completed,384332.17
130,3663,2025-08-24 21:11:02,Cancelled,674886.46
131,4471,2024-11-27 02:56:16,Pending,370354.1
132,7130,2024-01-10 13:30:52,Pending,28219.17
133,148,2025-01-23 10:41:24,Returned,529242.02
134,7281,2024-11-22 09:49:25,Pending,178305.58
135,4881,2025-10-19 03:10:40,Completed,162706.62
136,9492,2024-05-22 09:53:22,Returned,560027.47
137,9959,2024-07-02 01:24:11,Completed,450330.27
138,7292,2025-07-09 22:04:13,Completed,2723.01
139,7786,2024-10-22 04:45:22,Completed,29664.94
140,6751,2024-10-01 08:25:45,Completed,1155270.08
141,9671,2024-02-16 07:06:38,Completed,759297.59
142,1032,2024-08-13 00:28:09,Returned,1127788.13
143,7175,2024-11-04 11:56:09,Cancelled,65461.36
144,6494,2024-01-30 10:00:44,Completed,575038.27
145,354,2024-04-19 15:11:57,Cancelled,198384.3
146,64,2024-11-14 18:22:21,Cancelled,1155378.45
147,9754,2025-12-10 00:44:31,Completed,305041.65
148,5030,2025-05-22 05:12:02,Pending,616816.88
149,8160,2024-05-15 14:34:46,Completed,742377.01
150,9162,2025-09-20 22:37:52,Completed,385768.15
151,9355,2024-04-21 11:59:40,Completed,471305.46
152,6646,2024-08-29 12:19:42,Completed,433395.27
153,1234,2025-11-01 04:12:24,Cancelled,403307.75
154,3171,2025-01-19 01:20:38,Returned,140520.15
155,9966,2025-03-04 21:39:21,Returned,694255.0
156,8259,2025-05-11 09:38:26,Returned,431316.74
157,4953,2025-04-15 00:20:30,Completed,221716.39
158,6734,2024-04-12 09:26:33,Completed,664014.15
159,3974,2024-04-22 07:40:38,Completed,451859.19
160,7510,2025-12-25 18:14:48,Cancelled,222934.46
161,5626,2025-12-18 09:44:27,Completed,608109.45
162,6532,2024-09-18 16:05:53,Pending,164144.25
163,9528,2024-03-22 08:58:09,Cancelled,475440.64
164,8737,2025-05-10 19:17:43,Completed,412211.46
165,6240,2025-08-30 06:11:22,Completed,458939.48
166,9573,2025-03-03 09:37:59,Cancelled,897478.03
167,459,2025-06-24 20:10:19,Completed,800778.75
168,4752,2024-04-23 17:24:27,Completed,521087.06
